N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+107+110,0.00000000,1,0.00000000,0.00000000,1.768982e-13,10.429 14.689 17.232 
3mer-0+6+157,0.00000000,1,0.00000000,0.00000000,1.037543e-11, 2.680 14.714 17.232 
3mer-0+65+136,0.00000000,1,0.00000000,0.00000000,4.024074e-13, 7.916 14.714 17.232 
3mer-0+120+161,0.00000000,1,0.00000000,0.00000000,2.706087e-13, 8.756 15.184 17.232 
3mer-0+31+135,0.00000000,1,0.00000000,0.00000000,4.236912e-13, 7.489 15.288 17.232 
3mer-0+43+131,0.00000000,1,0.00000000,0.00000000,2.736589e-13, 8.595 15.410 17.232 
3mer-0+90+125,0.00000000,1,0.00000000,0.00000000,1.299766e-13,11.016 15.410 17.232 
3mer-0+128+141,0.00000000,1,0.00000000,0.00000000,9.284340e-14,12.106 15.686 17.232 
3mer-0+37+150,0.00000000,1,0.00000000,0.00000000,9.735110e-13, 5.514 15.736 17.232 
3mer-0+41+162,0.00000000,1,0.00000000,0.00000000,9.735110e-13, 5.514 15.736 17.232 
3mer-0+104+144,0.00000000,1,0.00000000,0.00000000,9.031923e-14,12.106 15.831 17.232 
3mer-0+69+148,0.00000000,1,0.00000000,0.00000000,3.214639e-13, 7.916 15.858 17.232 
3mer-0+27+156,0.00000000,1,0.00000000,0.00000000,3.302272e-13, 7.489 16.613 17.232 
3mer-0+39+41,0.00000000,1,0.00000000,0.00000000,4.293144e-12, 5.514  9.561 17.295 
3mer-0+54+66,0.00000000,1,0.00000000,0.00000000,9.591320e-13, 8.324 10.437 17.295 
3mer-0+17+112,0.00000000,2,0.00000000,0.00000000,6.835531e-12, 5.156  8.756 17.295 
3mer-0+48+58,0.00000000,1,0.00000000,0.00000000,1.022461e-12, 7.916 10.744 17.295 
3mer-0+15+118,0.00000000,2,0.00000000,0.00000000,1.988010e-12, 6.186 11.016 17.295 
3mer-0+22+142,0.00000000,2,0.00000000,0.00000000,1.027900e-12, 7.505 11.312 17.295 
