N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+75+129,-0.00000761,1,-0.00000254,-76.43873319,1.081293e-13,11.651 11.780 22.663 
3mer-0+81+160,0.00000053,1,0.00000018,-76.43873302,8.705173e-14,11.855 12.445 22.663 
3mer-0+74+153,0.00000315,1,0.00000105,-76.43873197,8.705173e-14,11.855 12.445 22.663 
3mer-0+62+123,0.00002100,1,0.00000700,-76.43872497,7.741725e-13, 5.156 13.810 22.663 
3mer-0+66+106,0.00003781,1,0.00001260,-76.43871237,1.805336e-13, 8.324 13.898 22.663 
3mer-0+60+114,0.00004647,1,0.00001549,-76.43869688,1.805336e-13, 8.324 13.898 22.663 
3mer-0+79+145,-0.00012287,1,-0.00004096,-76.43873783,2.325962e-13, 7.489 14.197 22.663 
3mer-0+50+155,-0.00008874,1,-0.00002958,-76.43876741,6.602055e-13, 5.156 14.563 22.663 
3mer-0+85+136,-0.00003046,1,-0.00001015,-76.43877757,1.521347e-13, 8.324 14.714 22.663 
3mer-0+119+157,0.00000551,1,0.00000184,-76.43877573,4.512979e-14,12.481 14.714 22.663 
3mer-0+134+143,-0.00001838,1,-0.00000613,-76.43878185,7.392369e-14,10.429 14.939 22.663 
3mer-0+128+135,0.00000341,1,0.00000114,-76.43878072,4.408852e-14,12.106 15.288 22.663 
3mer-0+78+148,-0.00000053,1,-0.00000018,-76.43878089,1.215331e-13, 8.324 15.858 22.663 
3mer-0+104+156,0.00000210,1,0.00000070,-76.43878019,3.436283e-14,12.106 16.613 22.663 
3mer-0+76+96,0.00002258,1,0.00000753,-76.43877266,6.337969e-13, 6.194 12.288 22.666 
3mer-0+70+101,-0.00000630,1,-0.00000210,-76.43877476,5.890218e-13, 6.746 11.562 22.666 
3mer-0+81+117,-0.00001549,1,-0.00000516,-76.43877993,3.447150e-13, 7.492 12.445 22.666 
3mer-0+103+124,0.00000814,1,0.00000271,-76.43877722,2.679475e-13, 7.505 13.512 22.666 
3mer-0+74+122,-0.00000079,1,-0.00000026,-76.43877748,2.313793e-13, 8.557 12.445 22.666 
3mer-0+89+130,0.00000026,1,0.00000009,-76.43877739,1.638075e-13, 8.843 13.512 22.666 
3mer-0+36+165,-0.00000578,1,-0.00000193,-76.43877932,2.765833e-13,10.013 10.021 22.666 
3mer-0+110+134,-0.00001759,1,-0.00000586,-76.43878518,7.773583e-14,10.429 14.689 22.666 
3mer-0+125+154,-0.00000788,1,-0.00000263,-76.43878780,5.508982e-14,11.150 15.410 22.666 
3mer-0+93+133,-0.00002074,1,-0.00000691,-76.43879472,5.497116e-14,12.099 14.212 22.666 
3mer-0+93+164,-0.00000551,1,-0.00000184,-76.43879656,5.497116e-14,12.099 14.212 22.666 
3mer-0+73+109,-0.00011421,1,-0.00003807,-76.43883463,3.725174e-13, 6.186 14.689 22.666 
3mer-0+97+157,0.00000919,1,0.00000306,-76.43883156,3.691838e-13, 6.194 14.714 22.666 
3mer-0+91+135,0.00000079,1,0.00000026,-76.43883130,1.531836e-13, 7.992 15.288 22.666 
3mer-0+51+131,0.00002941,1,0.00000980,-76.43882150,4.898700e-13, 5.382 15.410 22.666 
3mer-0+79+141,-0.00006958,1,-0.00002319,-76.43884469,1.723662e-13, 7.489 15.686 22.666 
3mer-0+83+150,-0.00001759,1,-0.00000586,-76.43885055,5.889208e-13, 4.956 15.736 22.666 
3mer-0+83+162,-0.00007010,1,-0.00002337,-76.43887392,5.889208e-13, 4.956 15.736 22.666 
3mer-0+49+144,-0.00000263,1,-0.00000088,-76.43887480,1.676801e-13, 7.489 15.831 22.666 
3mer-0+84+156,0.00000525,1,0.00000175,-76.43887305,1.193921e-13, 7.992 16.613 22.666 
